Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,19.625,33,32
1,18.9,28,20
2,30.666666666666668,46,72
3,27.229134104407628,68,3199
4,12.0,23,20
5,NA,NA,NA
6,NA,NA,NA
7,0.0,0,1
8,5.875,16,8
9,5.428571428571429,16,21
10,9.0,9,1
11,NA,NA,NA
12,11.0,14,2
13,2.0,2,1
14,15.055555555555555,24,18
15,NA,NA,NA
16,15.5,17,2
17,NA,NA,NA
18,NA,NA,NA
19,21.74561403508772,44,114
20,NA,NA,NA
21,NA,NA,NA
22,16.366666666666667,39,240
23,16.666666666666668,31,36
24,14.5,18,4
25,17.125,35,96
26,5.0,6,2
27,21.72222222222222,35,108
28,13.8,29,45
29,50.74825174825175,87,2288
30,NA,NA,NA
31,3.0,5,2
32,9.0,28,50
33,NA,NA,NA
34,NA,NA,NA
35,13.454545454545455,28,11
36,NA,NA,NA
37,NA,NA,NA
38,6.5,14,6
39,NA,NA,NA
40,54.666666666666664,89,4608
41,53.0,62,28
42,24.0,27,4
43,NA,NA,NA
44,27.0,62,2496
45,41.166666666666664,73,2754
46,19.0,21,2
47,55.88333333333333,73,120
48,NA,NA,NA
49,NA,NA,NA
50,1.0,1,1
51,7.0,9,2
52,14.987654320987655,38,324
53,NA,NA,NA
54,19.3625,48,640
55,23.266666666666666,45,360
56,5.0,5,1
57,16.0,20,6
58,NA,NA,NA
59,42.40238095238095,91,10500
60,21.45,53,3600
61,66.0,78,16
62,32.66162436548223,81,19700
63,1.0,1,1
64,0.0,0,1
65,16.5,25,32
66,2.8,10,5
67,33.375,76,9504
68,12.0,16,3
69,10.0,10,1
70,9.428571428571429,24,21
71,21.3,45,1080
72,NA,NA,NA
73,NA,NA,NA
74,NA,NA,NA
75,8.375,24,16
76,23.066666666666666,41,45
77,13.5,16,4
78,46.0,53,8
79,NA,NA,NA
80,25.046875,44,128
81,NA,NA,NA
82,29.0933908045977,63,696
83,28.08543417366947,85,19278
84,0.0,0,1
85,30.0,40,18
86,21.666666666666668,30,27
87,20.0,20,1
88,26.833333333333332,42,216
89,NA,NA,NA
90,11.714285714285714,30,35
91,17.555555555555557,46,540
92,4.0,8,6
93,8.6,17,5
94,7.2,21,25
95,NA,NA,NA
96,30.9375,69,6144
97,32.55609756097561,65,9840
98,NA,NA,NA
99,20.166666666666668,29,36
