Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6,9,6
1,38,63,228
2,11,25,19
3,NA,NA,NA
4,36,62,672
5,4,4,1
6,15,18,4
7,24,62,3024
8,15,19,4
9,20,33,144
10,NA,NA,NA
11,NA,NA,NA
12,NA,NA,NA
13,40,67,588
14,NA,NA,NA
15,20,41,378
16,NA,NA,NA
17,19,36,96
18,4,5,2
19,20,29,18
20,23,30,4
21,NA,NA,NA
22,4,4,1
23,31,64,660
24,NA,NA,NA
25,NA,NA,NA
26,35,75,1824
27,18,30,18
28,NA,NA,NA
29,56,81,1456
30,NA,NA,NA
31,15,29,56
32,0,0,1
33,NA,NA,NA
34,26,57,4784
35,11,22,10
36,20,41,108
37,4,9,8
38,26,61,3661
39,NA,NA,NA
40,42,79,8400
41,20,40,1188
42,15,15,1
43,NA,NA,NA
44,65,90,192
45,6,8,3
46,33,76,6688
47,NA,NA,NA
48,29,52,550
49,21,44,90
50,13,19,21
51,15,18,2
52,NA,NA,NA
53,NA,NA,NA
54,8,10,2
55,NA,NA,NA
56,34,77,10080
57,21,29,22
58,9,13,4
59,43,81,13824
60,5,11,6
61,29,30,2
62,8,23,70
63,20,20,1
64,39,54,24
65,14,25,120
66,32,59,3456
67,34,55,84
68,11,19,24
69,NA,NA,NA
70,NA,NA,NA
71,0,0,1
72,26,29,4
73,26,49,144
74,NA,NA,NA
75,7,13,12
76,27,51,1008
77,2,2,1
78,29,64,13200
79,NA,NA,NA
80,43,52,20
81,43,55,48
82,47,59,12
83,12,58,344
84,5,39,35
85,8,9,2
86,60,92,12928
87,18,22,4
88,NA,NA,NA
89,NA,NA,NA
90,13,16,6
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,NA,NA,NA
96,28,31,5
97,NA,NA,NA
98,4,9,3
99,NA,NA,NA
