Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,42.4825975894928,19.0,23,8
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,201.0917088985443,11.8,25,50
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,34.68452525138855,2.0,2,1
17,19.527886390686035,3.0,6,4
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,26.97505521774292,9.5,11,2
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,35.87131142616272,8.75,12,4
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,53.70114278793335,12.5,19,12
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,10.431075811386108,12.0,12,1
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,101.64151263237,17.0,22,24
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,55.810856342315674,17.5,24,18
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,18.261428356170654,10.0,10,1
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,41.4585280418396,9.0,9,1
72,10.763236284255981,19.666666666666668,22,3
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,152.2525441646576,42.5,55,40
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,18.734870195388794,18.5,22,6
83,22.365856647491455,9.0,9,1
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,36.12576341629028,15.5,21,6
87,NA,NA,NA,NA
88,14.314480781555176,1.0,1,1
89,70.74623894691467,11.0,15,12
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,NA,NA,NA,NA
96,54.96187996864319,2.0,2,1
97,11.769053220748901,12.0,12,1
98,NA,NA,NA,NA
99,68.59813928604126,16.5,25,30
