Signature Name,Iteration,Size of First Minimal Module,Size of Union of All Minimal Modules,Number of Minimal Modules
35,4,38,38,1
35,5,38,38,1
35,6,38,38,1
35,7,38,38,1
35,8,38,38,1
35,9,38,38,1
35,10,38,38,1
36,1,14,22,24
36,2,14,22,24
36,3,14,22,24
36,4,14,22,24
36,5,14,22,24
36,6,14,22,24
36,7,14,22,24
36,8,14,22,24
36,9,14,22,24
36,10,14,22,24
37,1,17,29,36
37,2,17,29,36
37,3,17,29,36
37,4,17,29,36
37,5,17,29,36
37,6,17,29,36
37,7,17,29,36
37,8,17,29,36
37,9,17,29,36
37,10,17,29,36
38,1,19,39,12
38,2,19,39,12
38,3,19,39,12
38,4,19,39,12
38,5,19,39,12
38,6,19,39,12
38,7,19,39,12
38,8,19,39,12
38,9,19,39,12
38,10,19,39,12
39,1,8,11,2
39,2,8,11,2
39,3,8,11,2
39,4,8,11,2
39,5,8,11,2
39,6,8,11,2
39,7,8,11,2
39,8,8,11,2
39,9,8,11,2
39,10,8,11,2
40,1,35,45,40
40,2,35,45,40
40,3,35,45,40
40,4,35,45,40
40,5,35,45,40
40,6,35,45,40
40,7,35,45,40
40,8,35,45,40
40,9,35,45,40
40,10,35,45,40
42,1,,0,
42,2,,0,
44,1,14,20,8
44,2,14,20,8
44,3,14,20,8
44,4,14,20,8
44,5,14,20,8
44,6,14,20,8
44,7,14,20,8
44,8,14,20,8
44,9,14,20,8
44,10,,0,
45,1,,0,
46,1,19,26,15
46,2,19,26,15
46,3,19,26,15
46,4,19,26,15
46,5,19,26,15
46,6,19,26,15
46,7,19,26,15
46,8,19,26,15
46,9,19,26,15
46,10,19,26,15
47,1,18,24,6
47,2,18,24,6
47,3,18,24,6
47,4,18,24,6
47,5,18,24,6
47,6,18,24,6
47,7,18,24,6
47,8,18,24,6
47,9,18,24,6
47,10,18,24,6
48,1,32,65,8960
48,2,32,65,8960
48,3,32,65,8960
48,4,32,65,8960
48,5,32,65,8960
48,6,32,65,8960
48,7,32,65,8960
48,8,32,65,8960
48,9,32,65,8960
48,10,32,65,8960
50,1,35,69,864
50,2,35,69,864
50,3,35,69,864
50,4,35,69,864
50,5,35,69,864
50,6,35,69,864
50,7,35,69,864
50,8,35,69,864
50,9,35,69,864
50,10,35,69,864
51,1,21,24,2
51,2,21,24,2
51,3,21,24,2
51,4,21,24,2
51,5,21,24,2
51,6,21,24,2
51,7,21,24,2
51,8,21,24,2
51,9,21,24,2
51,10,21,24,2
52,1,57,74,60
52,2,57,74,60
52,3,57,74,60
52,4,57,74,60
52,5,57,74,60
52,6,57,74,60
52,7,57,74,60
52,8,57,74,60
52,9,57,74,60
52,10,57,74,60
53,1,15,22,24
53,2,15,22,24
53,3,15,22,24
53,4,15,22,24
53,5,15,22,24
53,6,15,22,24
53,7,15,22,24
53,8,15,22,24
53,9,15,22,24
53,10,15,22,24
54,1,26,61,1980
54,2,26,61,1980
54,3,26,61,1980
54,4,26,61,1980
54,5,26,61,1980
54,6,26,61,1980
54,7,26,61,1980
54,8,26,61,1980
54,9,26,61,1980
54,10,26,61,1980
55,1,14,30,10
55,2,14,30,10
55,3,14,30,10
55,4,14,30,10
55,5,14,30,10
55,6,14,30,10
55,7,14,30,10
55,8,14,30,10
55,9,14,30,10
55,10,14,30,10
56,1,12,16,5
56,2,12,16,5
56,3,12,16,5
56,4,12,16,5
56,5,12,16,5
56,6,12,16,5
56,7,12,16,5
56,8,12,16,5
56,9,12,16,5
56,10,12,16,5
57,1,25,48,160
57,2,25,48,160
57,3,25,48,160
57,4,25,48,160
57,5,25,48,160
57,6,25,48,160
57,7,25,48,160
57,8,25,48,160
57,9,25,48,160
57,10,25,48,160
58,1,33,60,1200
58,2,33,60,1200
58,3,33,60,1200
58,4,33,60,1200
58,5,33,60,1200
58,6,33,60,1200
58,7,33,60,1200
58,8,33,60,1200
58,9,33,60,1200
58,10,33,60,1200
59,1,3,3,1
59,2,3,3,1
59,3,3,3,1
59,4,3,3,1
59,5,3,3,1
59,6,3,3,1
59,7,3,3,1
59,8,3,3,1
59,9,3,3,1
59,10,3,3,1
62,1,3,6,4
62,2,3,6,4
62,3,3,6,4
62,4,3,6,4
62,5,3,6,4
62,6,3,6,4
