Signature,Time Spent
0,63.745848417282104
1,444.8838629722595
2,12.052823305130005
3,23.214973211288452
4,15.491364002227783
5,29.848811388015747
6,NA
7,95.15159773826599
8,122.23094940185547
9,44.25752902030945
10,18.75724196434021
11,51.552486181259155
12,91.2590754032135
13,50.71214294433594
14,78.8922848701477
15,17.791374683380127
16,9.647188186645508
17,18.87936568260193
18,43.349602699279785
19,9.783677816390991
20,44.541788816452026
21,112.51828598976135
22,NA
23,57.68565559387207
24,49.66048073768616
25,28.499035596847534
26,52.96672320365906
27,161.11216759681702
28,12.02317500114441
29,21.103535175323486
30,NA
31,17.70262050628662
32,NA
33,9.861150979995728
34,19.351332902908325
35,54.078168869018555
36,66.97733497619629
37,13.912600755691528
38,29.641092538833618
39,55.30702042579651
40,200.4980502128601
41,50.383264780044556
42,80.79388499259949
43,71.89283561706543
44,15.026710033416748
45,12.512408971786499
46,NA
47,53.192025661468506
48,150.283456325531
49,12.395207405090332
50,17.752208471298218
51,64.26906943321228
52,18.234582662582397
53,111.72249722480774
54,34.957027196884155
55,60.418604373931885
56,24.888235807418823
57,64.31437659263611
58,43.954773902893066
59,30.154619693756104
60,20.980629444122314
61,26.05369544029236
62,14.883726596832275
63,21.941388845443726
64,NA
65,217.72844791412354
66,142.26535654067993
67,26.523294925689697
68,NA
69,27.28696036338806
70,NA
71,16.86109757423401
72,70.47074341773987
73,75.63084149360657
74,16.381553173065186
75,63.3985857963562
76,16.68357515335083
77,15.428207635879517
78,83.11884450912476
79,22.257005214691162
80,55.59629511833191
81,28.905079126358032
82,24.690924167633057
83,14.04716444015503
84,47.030768156051636
85,55.99961805343628
86,20.722114086151123
87,24.16738200187683
88,9.730725526809692
89,27.74039316177368
90,29.220686197280884
91,25.083271503448486
92,14.234645128250122
93,24.736478805541992
94,NA
95,13.749433755874634
96,9.70490574836731
97,24.897423028945923
98,21.078948497772217
99,19.23784375190735
