load_time
13.5898
k,sig_time
0,0.29121
1,0.26679
2,0.28581
3,0.31569
4,0.32908
5,0.29864
6,0.29078
7,0.31243
8,0.28503
9,0.27138
10,0.26284
11,0.31785
12,0.18794
13,0.29217
14,0.29019
15,0.26374
16,0.35758
17,0.32771
18,0.19667
19,0.2699
20,0.27978
21,0.28081
22,0.29201
23,0.26443
24,0.27559
25,0.2796
26,0.31674
27,0.31658
28,0.31317
29,0.29451
30,0.31191
31,0.28118
32,0.25805
33,0.30434
34,0.27197
35,0.27344
36,0.29887
37,0.25799
38,0.29743
39,0.33934
40,0.32356
41,0.26784
42,0.29599
43,0.27623
44,0.3098
45,0.29643
46,0.27939
47,0.30681
48,0.28742
49,0.2883
50,0.30018
51,0.334
52,0.27688
53,0.28338
54,0.30526
55,0.27896
56,0.30994
57,0.30587
58,0.27771
59,0.27808
60,0.24342
61,0.26659
62,0.57396
63,0.28637
64,0.27579
65,0.28219
66,0.31575
67,0.31042
68,0.27491
69,0.18029
70,0.2669
71,0.29431
72,0.31787
73,0.31833
74,0.31719
75,0.31061
76,0.27676
77,0.31476
78,0.31877
79,0.1771
80,0.28387
81,0.29087
82,0.28492
83,0.30025
84,0.3199
85,0.27416
86,0.32371
87,0.33114
88,0.2694
89,0.33889
90,0.31214
91,0.2875
92,0.30016
93,0.29069
94,0.35075
95,0.28791
96,0.2828
97,0.29925
98,0.29833
99,0.31695
