Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
303,NA,NA,NA
304,0.0,0,1
305,4.0,4,1
306,2.0,2,1
307,NA,NA,NA
308,22.146341463414632,72,41
309,9.0,9,1
310,3.0,4,2
311,16.0,17,2
312,1.0,1,1
313,2.0,2,1
314,NA,NA,NA
315,NA,NA,NA
316,23.25,33,8
317,NA,NA,NA
318,2.0,2,1
319,3.0,3,1
320,NA,NA,NA
321,2.0,2,1
322,NA,NA,NA
323,8.0,13,3
324,4.0,4,1
325,37.17777777777778,97,720
326,0.0,0,1
327,20.0,21,2
328,NA,NA,NA
329,6.0,6,1
330,11.0,11,1
331,0.0,0,1
332,2.0,2,1
333,5.0,5,1
334,0.0,0,1
335,NA,NA,NA
336,NA,NA,NA
337,4.0,4,1
338,11.0,11,1
339,NA,NA,NA
340,NA,NA,NA
341,4.0,5,2
342,0.0,0,1
343,NA,NA,NA
344,2.0,2,1
345,NA,NA,NA
346,27.75,41,72
347,14.0,14,1
348,NA,NA,NA
349,NA,NA,NA
350,NA,NA,NA
351,6.0,6,1
352,3.0,3,1
353,9.0,9,1
354,2.0,2,1
355,13.0,13,1
356,NA,NA,NA
357,14.0,14,1
358,NA,NA,NA
359,8.0,8,1
360,0.0,0,1
361,2.0,2,1
362,NA,NA,NA
363,NA,NA,NA
364,15.0,16,2
365,NA,NA,NA
366,NA,NA,NA
367,31.94618395303327,116,1022
368,NA,NA,NA
369,5.5,8,2
370,10.0,16,3
371,NA,NA,NA
372,4.0,4,1
373,28.7,40,10
374,NA,NA,NA
375,3.0,3,1
376,6.181818181818182,18,11
377,3.0,3,1
378,15.5,23,4
379,NA,NA,NA
380,6.0,6,1
381,NA,NA,NA
382,NA,NA,NA
383,11.214285714285714,25,28
384,NA,NA,NA
385,7.0,7,1
386,NA,NA,NA
387,14.5,17,2
388,20.0,21,2
389,8.0,8,1
390,15.5,23,12
391,NA,NA,NA
392,6.0,6,1
393,NA,NA,NA
394,7.333333333333333,11,3
395,5.0,5,1
396,NA,NA,NA
397,4.0,4,1
398,NA,NA,NA
399,NA,NA,NA
400,4.5,7,2
401,4.0,4,1
402,NA,NA,NA
403,8.0,8,1
404,NA,NA,NA
405,NA,NA,NA
406,11.0,15,3
407,6.0,7,2
408,1.0,1,1
409,0.0,0,1
410,NA,NA,NA
411,26.0,26,1
412,NA,NA,NA
413,22.5,47,384
414,14.0,14,1
415,7.0,7,1
416,7.0,7,1
417,NA,NA,NA
418,12.0,13,2
419,6.0,6,1
420,NA,NA,NA
421,6.0,6,1
422,NA,NA,NA
423,6.0,6,1
424,6.333333333333333,10,3
425,0.0,0,1
426,6.0,6,1
427,8.625,23,8
428,2.5,5,2
429,NA,NA,NA
430,20.5,23,2
431,15.75,21,4
432,8.5,10,2
433,7.0,7,1
434,NA,NA,NA
435,NA,NA,NA
436,4.5,6,2
437,3.0,4,2
438,NA,NA,NA
439,NA,NA,NA
440,NA,NA,NA
441,8.0,8,1
442,NA,NA,NA
443,NA,NA,NA
444,NA,NA,NA
445,5.0,5,1
446,12.0,24,16
447,3.0,3,1
448,NA,NA,NA
449,3.0,3,1
450,4.0,4,1
451,NA,NA,NA
452,7.0,7,1
453,NA,NA,NA
454,NA,NA,NA
455,0.0,0,1
456,NA,NA,NA
457,4.0,6,4
458,4.0,5,2
459,7.5,13,4
460,4.0,7,2
461,7.5,9,2
462,0.0,0,1
463,0.0,0,1
464,4.0,4,1
465,NA,NA,NA
466,4.5,7,2
