Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,20,21,2
1,21,36,20
2,6,6,1
3,13,25,30
4,17,45,630
5,10,16,9
6,16,17,2
7,41,61,1860
8,NA,NA,NA
9,41,87,18144
10,13,26,37
11,8,9,2
12,9,9,1
13,7,15,5
14,9,9,1
15,7,24,126
16,8,14,11
17,NA,NA,NA
18,18,36,126
19,14,20,3
20,18,32,45
21,18,47,387
22,67,86,280
23,17,32,126
24,NA,NA,NA
25,13,29,60
26,35,51,126
27,NA,NA,NA
28,27,30,4
29,NA,NA,NA
30,20,36,112
31,56,58,2
32,0,0,1
33,6,7,2
34,22,58,1089
35,12,20,5
36,34,41,8
37,NA,NA,NA
38,43,57,72
39,22,36,540
40,24,31,12
41,3,3,1
42,0,0,1
43,29,35,24
44,14,30,45
45,16,34,84
46,24,31,8
47,13,14,2
48,59,94,6720
49,20,31,48
50,NA,NA,NA
51,3,5,2
52,20,22,4
53,18,22,2
54,21,33,40
55,21,55,5292
56,30,34,4
57,32,36,4
58,8,8,1
59,13,17,4
60,13,20,30
61,7,32,13
62,4,4,1
63,18,27,12
64,6,8,3
65,NA,NA,NA
66,32,61,3000
67,13,19,5
68,19,36,45
69,2,2,1
70,34,34,1
71,NA,NA,NA
72,NA,NA,NA
73,20,36,72
74,6,6,1
75,38,52,132
76,31,75,2184
77,29,42,12
78,16,27,56
79,30,58,528
80,8,9,2
81,15,27,12
82,7,7,1
83,20,30,36
84,11,20,24
85,9,15,4
86,4,4,1
87,19,24,6
88,24,28,2
89,25,37,90
90,15,28,170
91,7,7,1
92,26,52,720
93,3,3,1
94,NA,NA,NA
95,5,7,3
96,24,52,480
97,NA,NA,NA
98,18,35,270
99,32,49,90
