Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,17.013983011245728,0.0,0,1
4,NA,NA,NA,NA
5,128.6644811630249,15.0,24,30
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,10.955470323562622,7.333333333333333,10,3
11,10.178576469421387,17.0,18,2
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,41.649081230163574,26.75,31,8
18,18.79544186592102,20.666666666666668,24,3
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,32.41883826255798,7.888888888888889,19,9
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,408.8011665344238,17.333333333333332,28,36
38,395.60517263412476,22.2,39,30
39,24.716535329818726,8.5,10,2
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,27.46854281425476,19.2,26,15
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,212.46995639801025,57.36666666666667,69,30
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,431.90609860420227,33.05555555555556,43,72
58,NA,NA,NA,NA
59,21.999923706054688,4.0,5,2
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,NA,NA,NA,NA
68,55.216004610061646,25.0,28,2
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,45.658170223236084,15.0,20,18
91,36.04422688484192,20.666666666666668,28,18
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,NA,NA,NA,NA
96,NA,NA,NA,NA
97,NA,NA,NA,NA
98,NA,NA,NA,NA
99,NA,NA,NA,NA
