Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,22.350877192982455,54,1710
0-2,22.350877192982455,54,1710
0-3,22.350877192982455,54,1710
0-4,22.350877192982455,54,1710
0-5,22.350877192982455,54,1710
0-6,22.350877192982455,54,1710
0-7,22.350877192982455,54,1710
0-8,22.350877192982455,54,1710
0-9,22.350877192982455,54,1710
0-10,22.350877192982455,54,1710
1-1,7.0,10,4
1-2,7.0,10,4
1-3,7.0,10,4
1-4,7.0,10,4
1-5,7.0,10,4
1-6,7.0,10,4
1-7,7.0,10,4
1-8,7.0,10,4
1-9,7.0,10,4
1-10,7.0,10,4
2-1,18.783333333333335,43,780
2-2,18.783333333333335,43,780
2-3,18.783333333333335,43,780
2-4,18.783333333333335,43,780
2-5,18.783333333333335,43,780
2-6,18.783333333333335,43,780
2-7,18.783333333333335,43,780
2-8,18.783333333333335,43,780
2-9,18.783333333333335,43,780
2-10,18.783333333333335,43,780
3-1,7.8,23,150
3-2,7.8,23,150
3-3,7.8,23,150
3-4,7.8,23,150
3-5,7.8,23,150
3-6,7.8,23,150
3-7,7.8,23,150
3-8,7.8,23,150
3-9,7.8,23,150
3-10,7.8,23,150
4-1,52.7,65,80
4-2,52.7,65,80
4-3,52.7,65,80
4-4,52.7,65,80
4-5,52.7,65,80
4-6,52.7,65,80
4-7,52.7,65,80
4-8,52.7,65,80
4-9,52.7,65,80
4-10,52.7,65,80
5-1,51.94444444444444,87,6048
5-2,51.94444444444444,87,6048
5-3,51.94444444444444,87,6048
5-4,51.94444444444444,87,6048
5-5,51.94444444444444,87,6048
5-6,51.94444444444444,87,6048
5-7,51.94444444444444,87,6048
5-8,51.94444444444444,87,6048
5-9,51.94444444444444,87,6048
5-10,51.94444444444444,87,6048
6-1,18.2,57,60
6-2,18.2,57,60
6-3,18.2,57,60
6-4,18.2,57,60
6-5,18.2,57,60
6-6,18.2,57,60
6-7,18.2,57,60
6-8,18.2,57,60
6-9,18.2,57,60
6-10,18.2,57,60
7-1,17.7,38,120
7-2,17.7,38,120
7-3,17.7,38,120
7-4,17.7,38,120
7-5,17.7,38,120
7-6,17.7,38,120
7-7,17.7,38,120
7-8,17.7,38,120
7-9,17.7,38,120
7-10,17.7,38,120
8-1,19.0,23,6
8-2,19.0,23,6
8-3,19.0,23,6
8-4,19.0,23,6
8-5,19.0,23,6
8-6,19.0,23,6
8-7,19.0,23,6
8-8,19.0,23,6
8-9,19.0,23,6
8-10,19.0,23,6
9-1,26.446180555555557,66,4608
9-2,26.446180555555557,66,4608
9-3,26.446180555555557,66,4608
9-4,26.446180555555557,66,4608
9-5,26.446180555555557,66,4608
9-6,26.446180555555557,66,4608
9-7,26.446180555555557,66,4608
9-8,26.446180555555557,66,4608
9-9,26.446180555555557,66,4608
9-10,26.446180555555557,66,4608
10-1,32.833333333333336,59,192
10-2,32.833333333333336,59,192
10-3,32.833333333333336,59,192
10-4,32.833333333333336,59,192
10-5,32.833333333333336,59,192
10-6,32.833333333333336,59,192
10-7,32.833333333333336,59,192
10-8,32.833333333333336,59,192
10-9,32.833333333333336,59,192
10-10,32.833333333333336,59,192
11-1,53.22222222222222,62,9
11-2,53.22222222222222,62,9
11-3,53.22222222222222,62,9
11-4,53.22222222222222,62,9
11-5,53.22222222222222,62,9
11-6,53.22222222222222,62,9
11-7,53.22222222222222,62,9
11-8,53.22222222222222,62,9
11-9,53.22222222222222,62,9
11-10,53.22222222222222,62,9
12-1,16.98780487804878,31,82
12-2,16.98780487804878,31,82
12-3,16.98780487804878,31,82
12-4,16.98780487804878,31,82
12-5,16.98780487804878,31,82
12-6,16.98780487804878,31,82
12-7,16.98780487804878,31,82
12-8,16.98780487804878,31,82
12-9,16.98780487804878,31,82
12-10,16.98780487804878,31,82
13-1,21.12,34,50
13-2,21.12,34,50
13-3,21.12,34,50
13-4,21.12,34,50
13-5,21.12,34,50
13-6,21.12,34,50
13-7,21.12,34,50
13-8,21.12,34,50
13-9,21.12,34,50
