Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,21,54,1710
0,2,21,54,1710
0,3,21,54,1710
0,4,21,54,1710
0,5,21,54,1710
0,6,21,54,1710
0,7,21,54,1710
0,8,21,54,1710
0,9,21,54,1710
0,10,21,54,1710
1,1,7,10,4
1,2,7,10,4
1,3,7,10,4
1,4,7,10,4
1,5,7,10,4
1,6,7,10,4
1,7,7,10,4
1,8,7,10,4
1,9,7,10,4
1,10,7,10,4
2,1,19,43,780
2,2,19,43,780
2,3,19,43,780
2,4,19,43,780
2,5,19,43,780
2,6,19,43,780
2,7,19,43,780
2,8,19,43,780
2,9,19,43,780
2,10,19,43,780
3,1,7,23,150
3,2,7,23,150
3,3,7,23,150
3,4,7,23,150
3,5,7,23,150
3,6,7,23,150
3,7,7,23,150
3,8,7,23,150
3,9,7,23,150
3,10,7,23,150
4,1,53,65,80
4,2,53,65,80
4,3,53,65,80
4,4,53,65,80
4,5,53,65,80
4,6,53,65,80
4,7,53,65,80
4,8,53,65,80
4,9,53,65,80
4,10,53,65,80
5,1,50,87,6048
5,2,50,87,6048
5,3,50,87,6048
5,4,50,87,6048
5,5,50,87,6048
5,6,50,87,6048
5,7,50,87,6048
5,8,50,87,6048
5,9,50,87,6048
5,10,50,87,6048
6,1,19,57,60
6,2,19,57,60
6,3,19,57,60
6,4,19,57,60
6,5,19,57,60
6,6,19,57,60
6,7,19,57,60
6,8,19,57,60
6,9,19,57,60
6,10,19,57,60
7,1,15,38,120
7,2,15,38,120
7,3,15,38,120
7,4,15,38,120
7,5,15,38,120
7,6,15,38,120
7,7,15,38,120
7,8,15,38,120
7,9,15,38,120
7,10,15,38,120
8,1,20,23,6
8,2,20,23,6
8,3,20,23,6
8,4,20,23,6
8,5,20,23,6
8,6,20,23,6
8,7,20,23,6
8,8,20,23,6
8,9,20,23,6
8,10,20,23,6
9,1,31,66,4608
9,2,31,66,4608
9,3,31,66,4608
9,4,31,66,4608
9,5,31,66,4608
9,6,31,66,4608
9,7,31,66,4608
9,8,31,66,4608
9,9,31,66,4608
9,10,31,66,4608
10,1,33,59,192
10,2,33,59,192
10,3,33,59,192
10,4,33,59,192
10,5,33,59,192
10,6,33,59,192
10,7,33,59,192
10,8,33,59,192
10,9,33,59,192
10,10,33,59,192
11,1,53,62,9
11,2,53,62,9
11,3,53,62,9
11,4,53,62,9
11,5,53,62,9
11,6,53,62,9
11,7,53,62,9
11,8,53,62,9
11,9,53,62,9
11,10,53,62,9
12,1,18,31,82
12,2,18,31,82
12,3,18,31,82
12,4,18,31,82
12,5,18,31,82
12,6,18,31,82
12,7,18,31,82
12,8,18,31,82
12,9,18,31,82
12,10,18,31,82
13,1,21,34,50
13,2,21,34,50
13,3,21,34,50
13,4,21,34,50
13,5,21,34,50
13,6,21,34,50
13,7,21,34,50
13,8,21,34,50
13,9,21,34,50
13,10,21,34,50
14,1,NA,NA,NA
15,1,36,43,12
15,2,36,43,12
15,3,36,43,12
15,4,36,43,12
15,5,36,43,12
15,6,36,43,12
15,7,36,43,12
15,8,36,43,12
15,9,36,43,12
15,10,36,43,12
16,1,51,89,3192
16,2,51,89,3192
16,3,51,89,3192
16,4,51,89,3192
16,5,51,89,3192
16,6,51,89,3192
16,7,51,89,3192
16,8,51,89,3192
16,9,51,89,3192
16,10,51,89,3192
17,1,25,52,592
17,2,25,52,592
17,3,25,52,592
17,4,25,52,592
17,5,25,52,592
17,6,25,52,592
17,7,25,52,592
