Signature,Time Spent
0,1.1453843116760254
1,285.7120056152344
2,0.5521543025970459
3,0.6547529697418213
4,0.481351375579834
5,1.09621000289917
6,NA
7,0.7247042655944824
8,1.1790311336517334
9,0.6236801147460938
10,0.5935580730438232
11,0.6686191558837891
12,1.8702847957611084
13,0.8800168037414551
14,0.7521510124206543
15,0.5405073165893555
16,0.48214077949523926
17,0.4517531394958496
18,0.7233781814575195
19,0.4815707206726074
20,0.7436063289642334
21,1.8093373775482178
22,6.427618026733398
23,0.6471157073974609
24,1.2138879299163818
25,0.6851110458374023
26,2.030717134475708
27,75.3454110622406
28,0.5071260929107666
29,0.6297380924224854
30,NA
31,0.612821102142334
32,NA
33,0.48323607444763184
34,0.6070141792297363
35,0.5434515476226807
36,0.7681198120117188
37,0.4976952075958252
38,0.5533602237701416
39,3.89019775390625
40,NA
41,0.8210632801055908
42,1.033262014389038
43,0.7091190814971924
44,0.48732542991638184
45,0.4886653423309326
46,13.84585189819336
47,0.8545734882354736
48,36.18156123161316
49,0.5332095623016357
50,0.5522184371948242
51,0.6876325607299805
52,1.009977102279663
53,2.9527838230133057
54,0.7495522499084473
55,1.050316572189331
56,0.6588666439056396
57,0.9421792030334473
58,0.7069427967071533
59,0.7275905609130859
60,0.6822693347930908
61,0.7377116680145264
62,0.5444629192352295
63,0.6857671737670898
64,NA
65,18.6483793258667
66,0.6805264949798584
67,0.6659774780273438
68,0.6802325248718262
69,0.7075145244598389
70,NA
71,0.5660989284515381
72,0.6455211639404297
73,0.8595335483551025
74,0.6193253993988037
75,3.310401439666748
76,0.6589217185974121
77,0.552027702331543
78,0.7869880199432373
79,0.702301025390625
80,10.824574947357178
81,0.7257888317108154
82,0.6586313247680664
83,0.5040774345397949
84,0.7612283229827881
85,0.7194626331329346
86,0.6656553745269775
87,0.617333173751831
88,0.47783350944519043
89,0.6807777881622314
90,0.6905198097229004
91,0.6230309009552002
92,0.712630033493042
93,0.5229268074035645
94,NA
95,0.5427734851837158
96,0.48812007904052734
97,0.6243503093719482
98,0.6478028297424316
99,0.6852023601531982
