Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
341,4,5,2
342,0,0,1
343,NA,NA,NA
344,2,2,1
345,NA,NA,NA
346,28,41,72
347,14,14,1
348,NA,NA,NA
349,NA,NA,NA
350,NA,NA,NA
351,6,6,1
352,3,3,1
353,9,9,1
354,2,2,1
355,13,13,1
356,NA,NA,NA
357,14,14,1
358,NA,NA,NA
359,8,8,1
360,0,0,1
361,2,2,1
362,NA,NA,NA
363,NA,NA,NA
364,15,16,2
365,NA,NA,NA
366,NA,NA,NA
367,34,116,1022
368,NA,NA,NA
369,5,8,2
370,11,16,3
371,NA,NA,NA
372,4,4,1
373,30,40,10
374,NA,NA,NA
375,3,3,1
376,7,18,11
377,3,3,1
378,16,23,4
379,NA,NA,NA
380,6,6,1
381,NA,NA,NA
382,NA,NA,NA
383,10,25,28
384,NA,NA,NA
385,7,7,1
386,NA,NA,NA
387,15,17,2
388,20,21,2
389,8,8,1
390,14,23,12
391,NA,NA,NA
392,6,6,1
393,NA,NA,NA
394,8,11,3
395,5,5,1
396,NA,NA,NA
397,4,4,1
398,NA,NA,NA
399,NA,NA,NA
400,5,7,2
401,4,4,1
402,NA,NA,NA
403,8,8,1
404,NA,NA,NA
405,NA,NA,NA
406,12,15,3
407,6,7,2
408,1,1,1
409,0,0,1
410,NA,NA,NA
411,26,26,1
412,NA,NA,NA
413,22,47,384
414,14,14,1
415,7,7,1
416,7,7,1
417,NA,NA,NA
418,12,13,2
419,6,6,1
420,NA,NA,NA
421,6,6,1
422,NA,NA,NA
423,6,6,1
424,6,10,3
425,0,0,1
426,6,6,1
427,8,23,8
428,2,5,2
429,NA,NA,NA
430,20,23,2
431,16,21,4
432,9,10,2
433,7,7,1
434,NA,NA,NA
435,NA,NA,NA
436,5,6,2
437,3,4,2
438,NA,NA,NA
439,NA,NA,NA
440,NA,NA,NA
441,8,8,1
442,NA,NA,NA
443,NA,NA,NA
444,NA,NA,NA
445,5,5,1
446,13,24,16
447,3,3,1
448,NA,NA,NA
449,3,3,1
450,4,4,1
451,NA,NA,NA
452,7,7,1
453,NA,NA,NA
454,NA,NA,NA
455,0,0,1
456,NA,NA,NA
457,4,6,4
458,4,5,2
459,7,13,4
460,2,7,2
461,8,9,2
462,0,0,1
463,0,0,1
464,4,4,1
465,NA,NA,NA
466,5,7,2
467,NA,NA,NA
468,4,4,1
469,6,27,10
470,0,0,1
471,41,77,84
472,3,3,1
473,NA,NA,NA
474,NA,NA,NA
475,5,7,2
476,1,1,1
477,NA,NA,NA
478,15,15,1
479,11,18,16
480,2,2,1
481,NA,NA,NA
482,2,2,1
483,6,6,1
484,14,24,24
485,8,8,1
486,5,6,2
487,4,4,1
488,8,9,2
489,NA,NA,NA
490,0,0,1
491,0,0,1
492,4,4,1
493,NA,NA,NA
494,12,12,1
495,NA,NA,NA
496,8,10,2
497,4,4,1
498,3,3,1
499,NA,NA,NA
500,0,0,1
501,3,3,1
502,NA,NA,NA
503,6,6,1
504,4,12,6
505,NA,NA,NA
506,0,0,1
507,NA,NA,NA
508,2,2,1
509,NA,NA,NA
510,3,3,1
511,NA,NA,NA
512,2,2,1
513,8,15,8
514,6,6,1
515,4,4,1
516,35,44,10
517,6,6,1
518,14,14,1
519,3,4,2
520,NA,NA,NA
521,NA,NA,NA
522,NA,NA,NA
523,NA,NA,NA
524,NA,NA,NA
525,5,5,1
526,3,3,1
527,NA,NA,NA
528,8,9,2
529,3,8,4
530,7,9,2
531,6,6,1
532,2,3,2
533,6,6,1
534,2,2,1
535,NA,NA,NA
536,NA,NA,NA
537,4,4,1
538,NA,NA,NA
539,4,4,1
540,14,14,1
541,3,4,2
542,1,1,1
543,2,2,1
544,NA,NA,NA
545,15,20,4
546,NA,NA,NA
547,NA,NA,NA
548,44,104,1848
549,NA,NA,NA
550,NA,NA,NA
551,0,0,1
552,2,2,1
553,6,6,1
554,19,23,3
555,4,4,1
556,2,2,1
557,NA,NA,NA
558,NA,NA,NA
559,3,5,2
560,2,2,1
561,NA,NA,NA
562,7,8,2
563,0,0,1
564,3,3,1
565,8,8,1
566,1,1,1
567,NA,NA,NA
568,11,13,4
569,1,1,1
570,4,4,1
571,2,2,1
572,NA,NA,NA
573,8,9,2
574,NA,NA,NA
575,4,7,3
576,2,2,1
577,2,5,2
578,NA,NA,NA
579,NA,NA,NA
580,NA,NA,NA
581,5,5,1
582,2,2,1
583,NA,NA,NA
584,6,10,3
585,0,0,1
586,3,3,1
587,18,24,4
588,NA,NA,NA
589,NA,NA,NA
590,21,24,2
591,NA,NA,NA
592,2,2,1
593,NA,NA,NA
594,NA,NA,NA
595,0,0,1
596,13,21,3
597,NA,NA,NA
598,0,0,1
599,11,15,3
600,4,4,1
601,NA,NA,NA
602,NA,NA,NA
603,2,2,1
604,2,3,2
605,12,20,5
606,NA,NA,NA
607,15,22,8
608,4,18,9
609,NA,NA,NA
610,NA,NA,NA
611,NA,NA,NA
612,2,2,1
613,2,2,1
614,NA,NA,NA
615,NA,NA,NA
616,3,18,8
617,NA,NA,NA
618,1,1,1
619,NA,NA,NA
620,NA,NA,NA
621,6,6,1
622,21,24,2
623,5,5,1
624,17,23,3
625,NA,NA,NA
626,0,0,1
627,5,5,1
628,0,0,1
629,11,15,3
630,3,3,1
631,NA,NA,NA
632,NA,NA,NA
633,NA,NA,NA
634,12,12,1
635,NA,NA,NA
636,NA,NA,NA
637,NA,NA,NA
638,NA,NA,NA
639,2,2,1
640,NA,NA,NA
641,31,55,7
642,2,2,1
643,2,2,1
644,11,11,1
645,12,15,2
646,NA,NA,NA
647,NA,NA,NA
648,0,0,1
649,4,4,1
650,3,3,1
651,2,2,1
652,2,2,1
653,14,14,1
654,NA,NA,NA
655,2,2,1
656,NA,NA,NA
657,18,45,360
658,NA,NA,NA
659,NA,NA,NA
660,NA,NA,NA
661,4,4,1
662,2,2,1
663,NA,NA,NA
664,NA,NA,NA
665,NA,NA,NA
666,NA,NA,NA
667,NA,NA,NA
668,NA,NA,NA
669,2,2,1
670,0,0,1
671,0,0,1
672,0,0,1
673,NA,NA,NA
674,2,3,2
675,4,4,1
676,NA,NA,NA
677,18,22,4
678,NA,NA,NA
679,5,5,1
680,4,4,1
681,4,5,2
682,7,8,2
683,18,18,1
684,5,8,2
685,NA,NA,NA
686,1,1,1
687,43,61,72
688,0,0,1
689,13,15,2
690,3,3,1
691,0,0,1
692,17,23,3
693,12,13,2
694,NA,NA,NA
695,59,93,520
696,21,47,264
697,18,24,8
698,NA,NA,NA
699,4,4,1
700,NA,NA,NA
701,NA,NA,NA
702,9,11,2
703,NA,NA,NA
704,8,8,1
705,2,2,1
706,28,43,24
707,4,5,2
708,NA,NA,NA
709,22,22,1
710,2,2,1
711,7,12,4
712,NA,NA,NA
713,17,23,3
714,NA,NA,NA
715,7,7,1
716,5,5,1
717,4,4,1
718,2,3,2
719,6,6,1
720,4,5,2
721,8,9,2
722,NA,NA,NA
723,6,7,2
724,6,6,1
725,5,6,2
726,7,9,2
727,9,9,1
728,NA,NA,NA
729,NA,NA,NA
730,NA,NA,NA
731,4,4,1
732,9,10,2
733,2,2,1
734,3,3,1
735,NA,NA,NA
736,NA,NA,NA
737,7,7,1
738,3,3,1
739,4,4,1
740,NA,NA,NA
741,5,5,1
742,16,18,2
743,2,2,1
744,NA,NA,NA
745,NA,NA,NA
