Signature,Time Spent
0,527.8835842609406
1,NA
2,100.54298615455627
3,NA
4,NA
5,35.76158308982849
6,NA
7,NA
8,NA
9,169.26050305366516
10,157.56362557411194
11,NA
12,135.14038228988647
13,165.40471076965332
14,293.53919672966003
15,NA
16,NA
17,298.9201786518097
18,402.54291343688965
19,231.03907012939453
20,NA
21,386.23580145835876
22,295.7984459400177
23,73.29488348960876
24,NA
25,NA
26,181.1375708580017
27,267.13322496414185
28,263.40389108657837
29,NA
30,125.65477228164673
31,134.54105734825134
32,36.33347272872925
33,62.401851415634155
34,196.496924161911
35,35.43725514411926
36,NA
37,332.61245703697205
38,218.35952997207642
39,NA
40,265.9371061325073
41,113.01202607154846
42,214.92810773849487
43,94.37009000778198
44,79.33709383010864
45,342.7494843006134
46,NA
47,NA
48,NA
49,405.67309498786926
50,90.67829465866089
51,227.63187909126282
52,70.9526481628418
53,377.572425365448
54,NA
55,319.0794997215271
56,35.49568510055542
57,368.07584595680237
58,35.545762062072754
59,35.207351207733154
60,199.46204543113708
61,63.541956186294556
62,44.658177852630615
63,317.542603969574
64,NA
65,NA
66,NA
67,35.68010878562927
68,NA
69,NA
70,55.17227244377136
71,270.4336009025574
72,323.06672286987305
73,126.26094341278076
74,146.47374081611633
75,76.3312201499939
76,NA
77,69.70918440818787
78,NA
79,36.14163398742676
80,116.6960563659668
81,NA
82,366.97535824775696
83,NA
84,NA
85,NA
86,100.59674787521362
87,509.48825001716614
88,78.09484887123108
89,NA
90,NA
91,NA
92,591.229549407959
93,80.13494563102722
94,NA
95,143.85441064834595
96,121.72494077682495
97,405.0521824359894
98,113.1369903087616
99,72.09313631057739
100,NA
101,166.21628522872925
102,88.56056571006775
103,NA
104,150.31817412376404
105,NA
106,NA
107,414.55677247047424
108,230.08885145187378
109,60.32217073440552
110,71.03786277770996
111,NA
112,NA
113,NA
114,NA
115,222.6118516921997
116,NA
117,505.0497615337372
118,NA
119,153.82071471214294
120,587.9810645580292
121,NA
122,234.58409690856934
123,NA
124,142.26573705673218
125,225.3322308063507
126,NA
127,NA
128,45.08118152618408
129,122.3681104183197
130,567.0105333328247
131,NA
132,166.37216091156006
133,NA
134,123.8924617767334
135,NA
136,54.52728772163391
137,NA
138,212.77626967430115
139,286.5032551288605
140,190.45576667785645
141,112.68137550354004
142,317.61292266845703
143,NA
144,428.38333892822266
145,169.93487358093262
146,193.15441370010376
147,234.1968593597412
148,266.74125051498413
149,NA
150,193.1467878818512
151,NA
152,NA
153,113.58612632751465
154,NA
155,NA
156,NA
157,164.0523555278778
158,43.96886587142944
159,337.4383296966553
160,99.88053774833679
161,242.74954414367676
162,NA
163,NA
164,35.91774868965149
165,524.7017664909363
166,158.81721115112305
167,120.93295907974243
168,229.20113277435303
169,574.7983627319336
170,35.376169204711914
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,521.113165140152
