Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,20,33,32
1,18,28,20
2,33,46,72
3,29,68,3199
4,11,23,20
5,44,69,3840
6,13,30,30
7,0,0,1
8,5,16,8
9,5,16,21
10,9,9,1
11,5,10,4
12,11,14,2
13,2,2,1
14,16,24,18
15,11,25,35
16,15,16,2
17,39,60,800
18,15,28,60
19,21,44,114
20,21,35,96
21,19,26,3
22,14,38,200
23,15,27,18
24,12,16,8
25,13,35,96
26,5,6,2
27,3,3,1
28,16,29,45
29,48,84,1144
30,9,9,1
31,3,5,2
32,9,28,50
33,8,13,4
34,0,0,1
35,14,28,11
36,19,29,20
37,6,8,2
38,8,14,6
39,NA,NA,NA
40,52,82,864
41,49,58,14
42,25,27,4
43,13,25,40
44,28,62,2496
45,41,73,2754
46,19,21,2
47,53,73,120
48,22,28,6
49,3,3,1
50,1,1,1
51,7,9,2
52,7,10,4
53,NA,NA,NA
54,14,45,640
55,21,45,360
56,5,5,1
57,13,19,6
58,NA,NA,NA
59,NA,NA,NA
60,20,53,3600
61,53,62,4
62,34,81,19700
63,1,1,1
64,0,0,1
65,18,25,32
66,2,10,5
67,26,68,4752
68,11,16,3
69,10,10,1
70,8,22,14
71,21,39,576
72,24,31,24
73,5,7,3
74,1,1,1
75,9,24,16
76,20,41,45
77,13,16,4
78,9,9,1
79,NA,NA,NA
80,26,44,128
81,12,22,44
82,27,63,696
83,34,76,4464
84,0,0,1
85,27,36,18
86,22,30,27
87,20,20,1
88,28,42,216
89,NA,NA,NA
90,12,30,35
91,19,45,480
92,4,8,6
93,7,17,5
94,6,11,5
95,NA,NA,NA
96,31,69,6144
97,NA,NA,NA
98,16,29,36
99,16,22,18
