Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,25,60,1632
1,23,44,58
2,9,9,1
3,26,55,432
4,NA,NA,NA
5,21,53,321
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,22,29,24
10,NA,NA,NA
11,11,18,14
12,NA,NA,NA
13,18,27,12
14,NA,NA,NA
15,29,59,4797
16,NA,NA,NA
17,NA,NA,NA
18,25,42,24
19,6,8,4
20,55,70,96
21,8,17,16
22,34,40,5
23,NA,NA,NA
24,NA,NA,NA
25,8,12,3
26,NA,NA,NA
27,24,29,18
28,NA,NA,NA
29,NA,NA,NA
30,53,58,8
31,9,37,60
32,27,43,294
33,13,28,64
34,41,67,192
35,NA,NA,NA
36,2,2,1
37,24,63,15000
38,2,6,5
39,21,42,96
40,15,26,10
41,7,8,2
42,NA,NA,NA
43,15,33,130
44,3,5,3
45,27,40,24
46,20,51,120
47,13,14,2
48,2,2,1
49,37,70,17448
50,NA,NA,NA
51,19,41,273
52,7,8,2
53,27,38,27
54,15,19,6
55,31,51,68
56,9,9,1
57,NA,NA,NA
58,20,28,15
59,45,84,15552
60,9,31,72
61,10,17,6
62,NA,NA,NA
63,4,4,1
64,18,32,96
65,7,8,2
66,20,28,30
67,21,42,75
68,12,25,60
69,31,58,352
70,14,16,2
71,15,18,4
72,2,2,1
73,NA,NA,NA
74,29,35,4
75,34,59,78
76,17,25,18
77,16,19,2
78,3,3,1
79,22,39,248
80,19,55,840
81,16,16,1
82,NA,NA,NA
83,47,56,14
84,3,3,1
85,NA,NA,NA
86,NA,NA,NA
87,42,80,1872
88,34,36,3
89,NA,NA,NA
90,16,37,90
91,6,11,6
92,24,33,10
93,8,14,16
94,NA,NA,NA
95,NA,NA,NA
96,12,12,1
97,0,0,1
98,14,15,2
99,24,38,64
