name of the signature,size of the module
0,65
1,12
2,11
3,65
4,63
5,54
6,60
7,93
8,27
9,13
10,20
11,87
12,0
13,77
14,67
15,1
16,169
17,56
18,0
19,11
20,15
21,42
22,55
23,23
24,25
25,6
26,82
27,42
28,42
29,65
30,78
31,49
32,7
33,78
34,24
35,17
36,39
37,2
38,64
39,111
40,90
41,7
42,11
43,11
44,75
45,42
46,29
47,29
48,34
49,47
50,30
51,66
52,26
53,39
54,45
55,24
56,80
57,39
58,35
59,16
60,1
61,17
62,497
63,41
64,3
65,22
66,82
67,49
68,15
69,0
70,3
71,27
72,44
73,56
74,76
75,95
76,21
77,44
78,94
79,0
80,44
81,31
82,23
83,20
84,21
85,32
86,107
87,117
88,41
89,124
90,42
91,49
92,23
93,35
94,103
95,27
96,49
97,44
98,17
99,119
