Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,34.91428571428571,67,420
1,29.74206349206349,68,9072
2,9.0,9,1
3,11.0,12,2
4,5.0,5,1
5,19.362068965517242,45,522
6,NA,NA,NA
7,38.0,41,2
8,15.065656565656566,55,1188
9,19.0,19,1
10,16.0,16,1
11,32.0,33,2
12,49.791666666666664,71,384
13,10.984126984126984,40,252
14,36.333333333333336,40,3
15,9.0,9,1
16,2.0,2,1
17,1.0,1,1
18,7.0,11,3
19,3.0,3,1
20,9.11111111111111,21,36
21,29.025316455696203,62,711
22,30.818181818181817,63,891
23,20.1875,32,32
24,12.5,29,156
25,13.4,20,10
26,38.75,65,768
27,18.178904428904428,66,6864
28,6.0,6,1
29,9.5,11,2
30,NA,NA,NA
31,5.5,11,6
32,NA,NA,NA
33,2.0,2,1
34,5.75,11,4
35,7.555555555555555,19,9
36,32.5,43,28
37,6.0,6,1
38,9.0,9,1
39,20.027491408934708,48,1164
40,NA,NA,NA
41,6.5,19,48
42,29.34375,57,192
43,45.0,50,4
44,5.0,5,1
45,1.0,1,1
46,62.083333333333336,95,1536
47,12.5,19,12
48,19.183333333333334,63,3360
49,11.0,11,1
50,5.0,7,2
51,11.0,24,24
52,15.930434782608696,38,230
53,43.563793103448276,78,2320
54,13.0,23,24
55,25.791666666666668,52,192
56,17.0,26,24
57,26.033333333333335,41,30
58,12.428571428571429,23,14
59,17.5,24,18
60,12.738095238095237,27,84
61,11.625,23,24
62,10.0,10,1
63,19.166666666666668,24,6
64,NA,NA,NA
65,13.666666666666666,73,2160
66,24.5,28,4
67,10.0,10,1
68,11.0,24,16
69,15.0,21,9
70,NA,NA,NA
71,9.0,9,1
72,17.666666666666668,20,3
73,57.166666666666664,74,60
74,9.2,21,15
75,28.78627450980392,67,2040
76,10.9,20,20
77,4.5,6,2
78,40.6,56,20
79,13.602564102564102,31,78
80,15.664893617021276,48,2256
81,18.1,31,10
82,18.5,24,6
83,3.0,6,2
84,12.63888888888889,38,108
85,33.8,44,40
86,15.5,21,6
87,18.0,18,1
88,1.0,1,1
89,8.0,15,18
90,28.0,38,18
91,15.0,15,1
92,12.266666666666667,22,30
93,4.0,4,1
94,NA,NA,NA
95,5.0,5,1
96,2.0,2,1
97,11.0,11,1
98,11.666666666666666,24,18
99,13.75,27,40
